,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
33711462,52,95,1,97,4627,0.5021161150298427,0.2992622047306859,2,100,4934,0.5193684210526316,0.28440449521325595,70.0,1,11,1428,0.35443037974683544,0.22696389477243425,2364,0.4635294117647058,0.27246027614337576,21,116,46,58,502,519,359,Network Simplex
33711521,502,1095,1,9993,5407132,0.49414791267129,0.2844236214161293,3,10000,5606833,0.5120395433789954,0.29041170969915303,22360.0,1,6,1261709,0.3270624983798636,0.2157815565660476,2604887,0.5199375249500997,0.2907851369607932,139,1049,611,838,9237,38017,3826,Network Simplex
33712737,52,95,1,10,487,0.5126315789473684,0.27918758276684,342,9838,499075,0.5339927884358182,0.28555644276308034,7071.0,1,11,161,0.4509803921568628,0.24232525214433806,284485,0.5669991110898517,0.2923029350722826,20,186,43,50,458,590,410,Network Simplex
33715619,2002,3920,1,1000,1952285,0.4980318877551021,0.2892818804922463,1,1000,1972660,0.5032295918367347,0.2870911775488129,447.0,1,101,542901,0.3191939324455419,0.2052655531657189,1005684,0.5025907046476762,0.28567028570974,2153,8689,6851,3731,679927,975396,118909,Network Simplex
33726363,1002,2090,1,9976,10581624,0.5075158370519871,0.2887401982073243,1,9990,10695186,0.5122436311909996,0.28890200573874675,316.0,1,11,2671937,0.2955345142014761,0.18870134314566891,5203726,0.5203731203731203,0.2909944970706319,189,1461,160,228,17869,90703,8773,SSP
33728647,502,1040,1,10,5901,0.5674038461538461,0.2887056499150985,1,1000,527723,0.5074259615384615,0.28723698721786944,2236.0,1,11,1652,0.32974051896207585,0.17941391759636593,253945,0.50687624750499,0.2886952005438548,179,1040,757,919,17842,50605,5305,Network Simplex
33732911,1002,1910,1,10,10614,0.5557068062827225,0.2946937320555645,9,10000,9283829,0.4860643455497382,0.2890304845259487,3162.0,1,101,3329,0.3325674325674325,0.18282471611212808,4878826,0.4873952047952048,0.2852716942450575,2321,2960,2174,2058,96233,174079,32170,CAS
33733350,1002,2030,1,100,101711,0.5010394088669949,0.2890532421061289,1,100,104354,0.5140591133004926,0.2844700828430141,316.0,1,21,26788,0.3387498577371995,0.2143487623104736,50892,0.5084115884115884,0.2858948033577865,504,3198,4042,3422,126367,242894,21240,Network Simplex
33738805,502,1095,1,2,1657,0.7566210045662101,0.24991230921772184,1,997,542256,0.4967010620903807,0.2958978276149336,22360.0,1,6,548,0.5469061876247505,0.145783755524705,253480,0.5074705153384305,0.2981291705854395,146,1413,1897,3094,33757,115503,4393,Network Simplex
33740560,10002,20000,1,100,1008670,0.5043350000000001,0.28846430936079426,1,10000,99904894,0.49952447,0.28825329755827445,100000.0,1,101,271673,0.28594298464890355,0.17835865991495892,50194965,0.5018994600539947,0.2873727408514767,28141,109110,926765,202743,30731660,146014528,2100708,Network Simplex
33740760,2002,4080,1,100,208098,0.5100441176470588,0.28910196995874204,1,100,206508,0.5061470588235294,0.288489232376586,447.0,1,21,54595,0.31004384171550586,0.1955207221894878,102728,0.513383308345827,0.2852089154260962,1022,6320,10608,9900,291926,925311,55351,Network Simplex
33745245,502,960,1,999,490591,0.5115438355021689,0.28980949434423764,11,9988,4754092,0.4958128921372314,0.2763340637501608,2236.0,1,51,145558,0.3343324857764334,0.21267761390460124,2443182,0.4882469742133674,0.2726135839306165,258,2421,371,499,17015,23899,8551,Network Simplex
33745585,10002,20000,1,2,30024,0.7506,0.2499992799989632,1,9999,99561622,0.497857895789579,0.2888963468918678,100000.0,1,101,10985,0.5491950804919508,0.1489207316036484,49540551,0.4954055149540552,0.2890742608343682,16305,73148,762365,165993,35730832,125902197,1252427,Network Simplex
33748213,252,545,1,100,28729,0.5271376146788991,0.28917387765999153,1,10,2985,0.5477064220183486,0.2885574149140461,158.0,1,6,7081,0.3616814792113597,0.2358603027401096,1335,0.5318725099601593,0.2860990545340091,100,578,908,743,4297,14579,1902,Network Simplex
33748667,2502,5000,1,1000,2495871,0.4991742,0.2854200529997148,1,10000,25004293,0.50008586,0.2904758415463503,50000.0,1,51,677250,0.3130539691637796,0.19757320188621671,12517707,0.5005080767692922,0.2909927748668853,3015,12100,58428,22808,1893899,6475625,215068,Network Simplex
33751054,52,95,1,10,525,0.5526315789473684,0.31080273156801325,2,998,45942,0.4845691382765531,0.2891255161562889,70.0,1,11,175,0.42892156862745096,0.27592858149132343,26023,0.5112774568745334,0.2850046285847916,17,53,13,17,187,179,172,SSP
33752163,102,215,41,9994,1064883,0.4955917736688524,0.294710309047713,1,100,10950,0.5093023255813953,0.2834012304780135,100.0,1,6,239150,0.28428644281164817,0.18177959593087414,5045,0.4995049504950495,0.2771366186938081,29,189,78,101,1549,3023,728,Network Simplex
33752865,2002,4080,1,1000,2053895,0.5034056372549021,0.29062150173747114,1,100,206155,0.5052818627450981,0.2922319770260096,447.0,1,21,535401,0.3158993112652646,0.20631968387382846,102170,0.5105947026486757,0.2945434063814749,990,7135,11136,8904,343446,837021,45348,Network Simplex
33758315,502,1040,1,2,1560,0.75,0.25,3,9993,5152997,0.4958275600612737,0.29296496878427625,22360.0,1,11,549,0.5479041916167665,0.14716414044843726,2482698,0.4958956299349664,0.28571384487439466,101,588,602,947,19208,57232,3631,Network Simplex
33765541,27,50,1,9,215,0.4777777777777778,0.3073181485764296,2,99,2459,0.4967676767676768,0.30668962264860355,50.0,1,6,52,0.3333333333333333,0.19611613513818404,1373,0.5678246484698097,0.2980472096167366,10,36,14,26,110,169,193,Network Simplex
33767449,1002,1970,1,1000,980585,0.497758883248731,0.2880689360439159,6,9996,9806633,0.4979978285730535,0.28941711308684465,316.0,1,51,271969,0.30631037508151376,0.20000830566066408,4946126,0.4943162080016822,0.2885592453165867,864,1967,236,572,54283,134605,19754,SSP
33776586,52,95,3,100,4714,0.4962105263157895,0.2886672786859181,1,993,48170,0.5106270207240154,0.2760986552455093,70.0,1,11,1428,0.4444444444444444,0.25183903594202234,25806,0.5315126050420168,0.26785887941695874,20,98,9,10,52,83,131,SSP
33777942,2002,4080,1,100,206662,0.5065245098039216,0.28743580594025586,2,10000,20556895,0.5038454656862745,0.2858709597895677,4472.0,1,21,54192,0.3112926295472953,0.19449639020611176,10096755,0.5045854572713644,0.2875330539344144,1902,3026,1354,3983,396760,1246138,42458,SSP
33784529,402,800,8,9936,4019661,0.5056940670289856,0.2862325918515008,27,10000,3935207,0.491900875,0.2826858189080845,20000.0,1,21,1129315,0.350453818167374,0.2252419205283829,2024607,0.5104018663410217,0.2805341635577185,232,1213,1344,1242,19795,61511,7017,Network Simplex
33785834,10002,20000,1,100,1005365,0.5026825,0.2888239415175792,1,100,1009303,0.5046515,0.2894906191014659,1000.0,1,101,270185,0.29049245613073105,0.1819105481246753,506814,0.5067633236676332,0.289381821638545,22830,69630,383523,167988,13619483,60932138,1287234,Network Simplex
33790345,102,200,8,999,101107,0.5060410410410411,0.2846375675242947,127,9970,1065354,0.5342798395185557,0.2834995938996561,1000.0,1,11,29160,0.34006227477871465,0.2176518666089764,550560,0.5467491583661876,0.28858965202958864,31,160,38,62,725,1494,673,Network Simplex
33800172,102,200,1,10,1050,0.525,0.2971110903349116,12,9954,910222,0.4572141852521599,0.2738340574727108,100.0,1,11,292,0.3613861386138614,0.21027224080559595,472488,0.4699717711373308,0.2578136899068088,23,77,16,18,188,157,194,SSP
33800519,27,50,13,985,22870,0.4643654822335025,0.3015352849130891,11,982,24069,0.49020366598778,0.2839226512208164,50.0,1,6,5739,0.3753924646781789,0.2865158286283125,13908,0.5648606936885712,0.27264383765466244,10,76,7,7,46,78,91,SSP
33800740,27,50,12,956,25091,0.5249163179916317,0.2890850580327916,17,1000,24414,0.48828,0.2697449936514115,500.0,1,6,7768,0.44860244860244863,0.2731578464136506,11856,0.456,0.3068647910725504,12,69,49,39,180,326,151,Network Simplex
33800803,102,200,28,1000,102242,0.5112099999999999,0.2815036339019445,66,9937,967412,0.4867726678071853,0.2835353821590779,100.0,1,11,29105,0.3643088708365148,0.22042013569006835,477308,0.4842030514526863,0.2997334715993929,17,103,29,37,393,455,635,Network Simplex
33805501,502,1040,1,100,52956,0.5091923076923077,0.28335646471304404,1,1000,524588,0.5044115384615384,0.292105641226072,2236.0,1,11,13930,0.3658472528626957,0.2245475561401156,252067,0.5031277445109781,0.2852751650759043,176,1309,974,1112,27401,82359,7020,Network Simplex
33807958,202,390,1,2,579,0.7423076923076923,0.2498816287812429,28,9999,1948356,0.4996284243808997,0.2913524510929959,1414.0,1,21,219,0.5447761194029851,0.14276960052021634,1060000,0.5274159256721692,0.29511603275088016,144,206,88,150,2536,4127,1980,SSP
33809041,202,410,9,9968,1992335,0.4874953509767842,0.28689539387398405,15,9915,1979336,0.4869035582942819,0.2851827049449893,14142.0,1,11,506302,0.3521481088893572,0.22279822015060985,981968,0.4957796768138201,0.2813337286818563,79,680,372,818,6073,18623,2513,Network Simplex
33813674,52,105,17,987,53613,0.5173252279635259,0.2817381110522134,11,994,49875,0.4778672032193159,0.2776665166980466,707.0,1,6,14271,0.4115051903114187,0.2663790682774215,26768,0.528030930682132,0.2678743254644683,16,93,19,111,472,826,338,Network Simplex
33816743,102,185,85,9999,861318,0.4656238596832656,0.2877631670187787,16,9945,892279,0.484980364980365,0.28991753866358744,100.0,1,21,258398,0.3282519937906031,0.21378819405406566,479072,0.476951948588524,0.29919017957656857,35,135,14,17,602,508,485,SSP
33818793,402,800,13,9991,4125123,0.5161048693824443,0.2905376666248966,1,100,39878,0.498475,0.28599986778843106,200.0,1,21,1161361,0.3053734811011274,0.19388714466551552,19392,0.4835910224438903,0.27947059377908423,221,1450,792,927,28318,54893,8567,Network Simplex
33820586,102,200,3,999,94427,0.4726076076076076,0.284638268058501,11,9840,1043281,0.5301224593495935,0.30073248896571697,10000.0,1,11,26045,0.3203370026443638,0.2328512891588124,512212,0.5171737651023924,0.31340756694186034,32,195,119,145,1276,2556,936,Network Simplex
33822248,502,1095,1,1000,567822,0.518558904109589,0.2801308858319135,7,9982,5551208,0.5078738075567987,0.29431053131265444,2236.0,1,6,140277,0.3478186484174508,0.21756287549206987,2675859,0.5350667128975869,0.2904537968290911,80,502,54,219,6057,35843,2676,SSP
33833441,102,200,1,100,9940,0.4970000000000001,0.2894270201622509,52,9984,981959,0.4917663261217949,0.2769013133281958,100.0,1,11,2844,0.32365995220211674,0.20674939238297765,475859,0.4719025688626554,0.2700797335425776,37,130,15,17,116,208,218,SSP
33833842,502,1095,11,9988,5449905,0.4983061866020045,0.2885038738279411,38,9986,5445362,0.4979905200614193,0.2859024137143009,22360.0,1,6,1273310,0.2959060340141698,0.19506969704869245,2472238,0.4944991268090135,0.2889836288238563,82,916,675,1028,13775,83294,3624,Network Simplex
33835343,1002,2030,1,2,3039,0.7485221674876847,0.249995631983972,1,1000,1004062,0.4946118226600986,0.2921352174575053,316.0,1,21,1091,0.544955044955045,0.14302645353434573,495830,0.4953346653346653,0.2926666860064788,453,836,365,756,40841,99706,8625,SSP
33835477,2002,3920,1,2,5895,0.7519132653061225,0.24999267872453465,1,10000,19353094,0.4937013775510204,0.2866571347822547,447.0,1,101,2225,0.5559720139930034,0.15764878891405654,9874843,0.4934954022988506,0.2886411479548684,2099,11587,991,584,416390,840903,66295,CAS
33835976,502,1095,1,2,1646,0.7515981735159817,0.2499948916306348,1,10,5938,0.5422831050228311,0.28202187848262805,223.0,1,6,545,0.5439121756487026,0.14151964052437666,2812,0.5612774451097804,0.28152983283607097,121,801,1217,1656,13987,37827,3218,Network Simplex
33838033,27,50,80,989,27695,0.5600606673407482,0.2879614132600925,16,986,27013,0.5479310344827586,0.293549693637963,500.0,1,6,9554,0.4663217493166731,0.28266055516028604,14432,0.5824521753168134,0.29781580073729885,9,48,10,15,148,240,220,Network Simplex
33839095,202,410,1,997,210520,0.5150084399540084,0.2917999477313881,2,9996,2054585,0.5013188202110113,0.2858616010034963,1414.0,1,11,56300,0.3462292985013129,0.2261739201166373,1035447,0.5153539027551319,0.28601779529428056,50,241,52,70,2554,6167,1449,Network Simplex
33842106,102,200,1,100,10082,0.5041,0.2919112707656215,35,9942,1020298,0.5131251257292295,0.29284660267981394,1000.0,1,11,2745,0.3623762376237624,0.23803667827758496,531238,0.5290466886157535,0.29373886490720424,40,208,50,78,1025,1918,1134,Network Simplex
33845267,202,410,1,2,617,0.7524390243902439,0.2499881020369245,13,9997,1977610,0.4824886490337345,0.2878122554685372,141.0,1,11,221,0.5497512437810945,0.14966775081085895,963123,0.4793574146076341,0.2792297839805097,45,153,36,49,178,366,421,SSP
33846789,102,215,1,2,329,0.7651162790697674,0.2495425777439292,1,993,111561,0.522546195461252,0.2969454411679584,1000.0,1,6,115,0.5693069306930693,0.17277156798628854,52339,0.5218609474240475,0.3044846815313842,64,107,50,246,1181,1940,364,SSP
33851206,252,545,1,10,2948,0.5409174311926606,0.2995334025404144,1,999,278549,0.5116106932620694,0.28877608249728753,15811.0,1,6,710,0.2828685258964144,0.16430870107339002,124245,0.4954954954954955,0.2855897050749938,108,784,1051,1186,8411,26104,2481,Network Simplex
33854563,1002,2090,1,1000,1042310,0.4987129186602871,0.2871831332687649,1,10,11562,0.5532057416267943,0.28640948496354235,316.0,1,11,262624,0.3123352837638552,0.20262732440789394,5514,0.5508491508491509,0.2843956703686851,495,3571,12728,7618,71095,209782,20157,Network Simplex
33856384,2002,4080,1,100,206380,0.5058333333333334,0.2903886706904377,1,1000,2041787,0.5004379901960785,0.2877859712919156,447.0,1,21,53949,0.32096451774112944,0.20483472353194093,1005407,0.5024522738630685,0.2877850981456816,743,3067,1511,3454,113578,316907,32660,Network Simplex
33861463,1002,2090,1,1000,1033062,0.49428803827751205,0.2908143166948908,3,10000,10411559,0.4981607177033493,0.2881940883456488,3162.0,1,11,250571,0.29658848260744003,0.19194084124512156,5048901,0.5046885274021556,0.291360567990408,705,1822,404,777,15792,59276,9129,SSP
33863194,1002,2090,1,100,105698,0.5057320574162679,0.28423028768313363,1,1000,1031187,0.4933909090909091,0.29493436754873875,3162.0,1,11,26996,0.3249280839642285,0.20012484701948768,487778,0.4872907092907093,0.29160933524014143,642,2088,5083,8121,57056,221348,15430,Network Simplex
33865086,1002,2090,1,100,102877,0.4922344497607656,0.28892530211245565,1,10,11502,0.5503349282296651,0.2848526569095676,316.0,1,11,25577,0.29369481093619026,0.19316063507569295,5377,0.5371628371628372,0.2842476837404848,542,3535,10312,6305,75400,243439,15305,Network Simplex
33867483,27,50,377,9908,274099,0.5532882519176423,0.26893544794814744,14,999,25317,0.5068468468468468,0.2853078761053598,50.0,1,6,96703,0.5291430009739869,0.2816141216452589,11459,0.455300381436745,0.2869950042370453,9,63,11,14,86,168,111,Network Simplex
33868858,1002,1970,1,100,98117,0.4980558375634518,0.285418433464544,1,1000,968407,0.4915771573604061,0.293217634364953,316.0,1,51,27373,0.3294657150078837,0.2043129214931009,495110,0.4946153846153846,0.2959077415877209,1508,2647,1572,1439,153505,218206,35199,CAS
33870039,202,390,1,10,2276,0.5835897435897436,0.28109207524688584,9,9977,1983971,0.5098832442823623,0.27916603613949864,141.0,1,21,748,0.4134881149806523,0.21468677823285656,990831,0.4942853166235402,0.27695627430765035,73,209,23,34,1151,1192,677,SSP
33877311,252,545,1,998,270793,0.497863617142542,0.2964979225804041,1,10,3032,0.5563302752293577,0.28741384205766124,158.0,1,6,60419,0.3205234985490793,0.2172436230595912,1405,0.5597609561752989,0.2870622297247478,98,737,1136,459,5753,17383,2354,Network Simplex
33882208,252,545,1,100,28067,0.5149908256880734,0.2936540589500686,1,100,26818,0.4920733944954129,0.2829807172871807,158.0,1,6,6545,0.3476759628154051,0.2334013359498777,12780,0.5091633466135458,0.28845048531980394,50,352,293,294,3425,13557,1883,Network Simplex
33884126,502,1095,1,100,55631,0.5080456621004567,0.2803237165186465,1,1000,556648,0.5083543378995434,0.2885435549799233,223.0,1,6,13591,0.2981070825382203,0.1824468240823917,254092,0.5076773380166594,0.2855689437656874,73,553,85,157,1403,6432,2227,Network Simplex
33885112,102,185,1,10,992,0.5362162162162163,0.2829129495698838,4,992,86278,0.4701285963382738,0.2956566682961981,100.0,1,21,351,0.38613861386138615,0.2252782491729,46285,0.4619630309805174,0.29055100658371164,28,124,34,40,1036,1395,645,Network Simplex
33889677,2502,5000,1,1000,2493815,0.498763,0.2881531544699797,1,1000,2501943,0.5003886,0.2892490552967114,5000.0,1,51,669699,0.31877677500428403,0.20613593963427795,1246867,0.498547381047581,0.2917566408484076,3226,14997,63712,25645,1643377,5444652,208819,Network Simplex
33893613,202,390,2,998,190750,0.4900827295616874,0.2924795919885081,3,1000,205465,0.5268333333333334,0.3003034882293828,141.0,1,21,53715,0.2807130314812492,0.1950494609561023,103087,0.5128706467661691,0.3021218712023108,69,337,87,176,3405,5953,2280,Network Simplex
33895256,1002,2090,1,10,11739,0.5616746411483253,0.2909809664733273,1,9999,10501129,0.5024966132976935,0.29010686862126284,316.0,1,11,3172,0.3520923520923521,0.18933163694137767,5098610,0.5097084442626322,0.28451881826808123,208,910,279,491,15788,25073,4078,Network Simplex
33900536,5002,10050,1,10000,50341843,0.5009138606965174,0.2871313174535433,1,10000,50031049,0.4978213830845771,0.2878388732169502,7071.0,1,51,13457313,0.3098358566628643,0.19773943734101754,24883604,0.4975725654869026,0.2879105548354902,4008,20984,16990,28240,4148529,10561929,307492,Network Simplex
33902079,10002,20000,1,1000,10030753,0.50153765,0.2904613113350511,1,1000,9952207,0.49761035,0.28852516531990324,1000.0,1,101,2675039,0.2827454041065238,0.18203275699346988,4982511,0.4982012798720128,0.28780568092267506,13313,134592,58195,55162,15454215,36313940,1185907,Network Simplex
33908208,5002,10050,3,9998,50047036,0.498080073726188,0.28991551009144684,1,100,504445,0.5019353233830846,0.2892818794310905,707.0,1,51,13203102,0.2854771173792923,0.1854941582534988,249853,0.4996060787842431,0.2890872368489125,7338,23968,92442,50978,2986181,8533946,370614,Network Simplex
33910083,202,390,1,100,19785,0.5073076923076923,0.2906159377497417,73,9995,2071378,0.53138825823168,0.2895994273145634,1414.0,1,21,5621,0.3177860696517413,0.20363691545448406,1032686,0.5169273864103369,0.285598536926302,80,406,85,108,2185,4472,2411,Network Simplex
33912831,2002,4080,1,1000,2047592,0.5018607843137255,0.2883210930157838,1,1000,2048462,0.5020740196078431,0.28826910410906464,4472.0,1,21,533483,0.31814820513371,0.20502740322684712,1008904,0.504199900049975,0.2858648468501464,1227,8430,13243,11290,321749,842255,55786,Network Simplex
33914209,27,50,9,992,25874,0.5216532258064517,0.30935896974940297,36,985,28030,0.5691370558375635,0.26915112926993506,50.0,1,6,7256,0.3854653633659159,0.25981877176271995,13792,0.5940218795761909,0.3064635277913179,12,30,13,14,75,131,117,Network Simplex
33915479,5002,9950,1,9998,49155283,0.4941217690774336,0.28876637107969066,4,9998,49691158,0.49950852482054203,0.28940746779962523,707.0,1,101,13133852,0.2892340474636351,0.18742281285690893,24900443,0.4980088799203552,0.29108873987398315,12625,15000,4441,4728,1194491,3410570,324211,SSP
33917371,502,1040,18,9994,5155178,0.4959877849786794,0.2873269919203763,12,9985,5110323,0.4921153846153846,0.2866665601729161,2236.0,1,11,1288902,0.338062901791686,0.21603662604256252,2493734,0.5000013032699042,0.2786427465523903,218,638,201,501,8376,22110,4071,SSP
33923053,52,105,1,2,156,0.7428571428571429,0.2498979383505129,62,9899,468312,0.4505621058404168,0.2838295139023463,70.0,1,6,54,0.5294117647058824,0.1176470588235294,200938,0.4058886148463712,0.24496087944316225,13,48,14,9,119,308,261,CAS
33939099,402,800,1,100,39939,0.4992375,0.2836362875122822,6,9987,4095100,0.5125538199659557,0.2809754589642519,20000.0,1,21,11007,0.3519086898139267,0.21094174363161253,2058793,0.5140830211444454,0.2804658897212478,532,1345,1246,1944,37073,93721,7675,Network Simplex
33943293,252,545,1,9994,2795707,0.5132817305061936,0.293619774356898,1,999,270986,0.4977197380867106,0.2904790356920062,158.0,1,6,666356,0.3465350190414429,0.2175582910117832,122499,0.4885323570582535,0.2903436738294677,45,249,27,47,689,2244,772,SSP
33944227,5002,10050,1,10000,50058430,0.4980938308457711,0.28705526257654085,1,9997,50661554,0.5042463385781905,0.2898825882537603,7071.0,1,51,13302332,0.2899743173571761,0.1838620293934777,25473083,0.5095126418349419,0.28875916713287425,4185,19244,12549,13566,3763472,9952403,296457,Network Simplex
33947304,102,200,1,10,1109,0.5545,0.28701872761198005,67,9979,1064140,0.5331896983665698,0.28394756816801786,10000.0,1,11,335,0.3685368536853685,0.19711319167810815,484544,0.4807561225107379,0.2775998453758525,33,266,82,131,1324,2463,832,Network Simplex
33950610,1002,2090,1,2,3146,0.7526315789473684,0.24998614920079826,1,100,104460,0.4998086124401914,0.2905144121345502,316.0,1,11,1095,0.5469530469530469,0.14584901390941402,50228,0.5017782217782218,0.293369679749354,213,1399,1072,1469,46752,131792,7252,Network Simplex
33957519,252,455,1,2,668,0.7340659340659341,0.24949169433632226,3,1000,225559,0.4957340659340659,0.2897563160410243,158.0,1,51,287,0.5717131474103586,0.1752535254814563,122174,0.4896871267445309,0.2887655479824406,151,711,94,187,3407,3963,1986,SSP
33959758,1002,1910,1,10,10411,0.5450785340314136,0.2896004995330431,19,9970,9559581,0.5020076459745729,0.2925714219132229,316.0,1,101,3264,0.3260739260739261,0.17932460293070293,5013954,0.5024017106263846,0.2874257738143809,784,1643,321,223,54656,70991,27631,CAS
33960729,5002,9950,1,10,54794,0.5506934673366835,0.2851342300624466,1,1000,5032767,0.5058057286432159,0.28613346878184737,707.0,1,101,16116,0.3580617209891355,0.1900900947346889,2522390,0.504377124575085,0.28538447976081777,5729,17255,25068,18737,2610862,4063558,410541,Network Simplex
33961963,252,545,1,2,812,0.7449541284403671,0.24994907317332404,24,9940,2669654,0.4928015801229394,0.29347319835753194,1581.0,1,6,273,0.5438247011952191,0.1413921715045049,1173093,0.4724226514542256,0.2803887762848523,29,153,45,63,390,984,330,Network Simplex
33963395,502,1040,1,10,5679,0.5460576923076923,0.28673197840636544,2,1000,508989,0.4894125,0.28888842009818755,223.0,1,11,1554,0.34464404524284764,0.19301319609657294,250521,0.500542458626291,0.28792766588283697,96,690,151,240,12370,48114,3913,Network Simplex
33964774,102,200,1,995,104670,0.5259798994974875,0.29284153607087965,5,998,101482,0.5084268537074148,0.28487767275196657,100.0,1,11,29718,0.3429342934293429,0.2144225573780255,49327,0.4948187827901331,0.28856829868553463,79,147,24,27,587,1524,729,SSP
33966374,202,390,1,10,2250,0.5769230769230769,0.2930489925448613,2,996,191662,0.4934146843785398,0.2812707968454697,1414.0,1,21,711,0.3930348258706468,0.2180326670926208,100160,0.5003096964974325,0.2940081877870912,88,503,893,594,13614,18557,2643,Network Simplex
33969327,102,200,63,9984,1017982,0.5098066907051282,0.29373942714298307,11,996,100494,0.5044879518072289,0.2920376559004527,100.0,1,11,277524,0.3892014697220431,0.24557468611691796,52321,0.5313125158669714,0.2995512475662103,22,208,15,22,482,696,497,SSP
33969428,402,800,1,100,41019,0.5127375,0.2906929326518793,1,100,40348,0.5043500000000001,0.29649886593375024,200.0,1,21,11414,0.3348687105764999,0.22122506534362846,19494,0.491045114486511,0.2962502924791723,220,2411,1516,989,20678,57410,8295,Network Simplex
33971063,27,50,23,999,26190,0.5243243243243243,0.3043311720924296,2,982,24223,0.4933401221995927,0.29992285210596364,50.0,1,6,8002,0.37670652480934,0.24694364011698086,13249,0.5369619842749453,0.2729378225446573,20,78,9,8,110,86,125,CAS
33971849,1002,1970,1,10,10960,0.5563451776649746,0.28870943825172807,2,9997,9992964,0.5074092786211498,0.2893841542923791,316.0,1,51,3308,0.3671883671883672,0.20039513796592592,4957642,0.4958143268284424,0.2901088596785603,609,1384,81,147,12705,35021,13354,SSP
33976179,502,905,1,998,449822,0.4980369578936879,0.2868325045063788,13,9999,4593113,0.5075770560481462,0.289516276122492,223.0,1,101,148758,0.3647692330327061,0.2264024946235955,2583597,0.5157395979118871,0.2886805001722585,355,2497,96,112,9758,9508,6775,SSP
33977821,27,50,1,10,264,0.528,0.2926021189260256,636,9888,292926,0.5924878640776701,0.2913316565157236,5000.0,1,6,84,0.4615384615384616,0.22866650600752544,158550,0.6167148991784914,0.2888602579294784,11,62,26,38,220,551,281,Network Simplex
33978107,5002,9950,1,2,14953,0.7514070351758794,0.249996040472672,1,10000,49906937,0.501577256281407,0.289548439995502,7071.0,1,101,5540,0.5538892221555689,0.15505019449601534,25220375,0.5043066386722656,0.28878724807198364,6030,16299,24603,17584,6418918,13457842,349193,Network Simplex
33978552,52,95,98,9881,472872,0.503754680700334,0.2858078418044852,9,990,46728,0.4968421052631579,0.29979492906336663,70.0,1,11,145703,0.4645400924597482,0.27298773189698633,23558,0.4665874430580313,0.3153824259779319,43,93,21,55,218,306,262,SSP
33982682,2002,4080,1,10,22428,0.5497058823529412,0.2897681828105348,1,1000,2055075,0.5036948529411764,0.2883182877854733,447.0,1,21,6234,0.34616025320672994,0.1909265928278094,1015803,0.5081558319939129,0.2883279969323185,884,3179,1342,2687,211853,626702,32439,Network Simplex
33984016,252,545,1,10,3039,0.5576146788990826,0.28203356909498656,4,998,283936,0.5220275413211745,0.28919743157269595,158.0,1,6,786,0.3914342629482072,0.20218264853315934,135631,0.5414454406821612,0.3001169629212028,37,342,43,60,1443,4489,826,Network Simplex
33984666,52,105,1,98,5210,0.5063168124392614,0.30553354742407085,1,100,4619,0.43990476190476185,0.2774252202566795,70.0,1,6,1242,0.3044117647058823,0.2200827541746993,2166,0.4247058823529412,0.27972923141240424,15,102,103,94,311,481,390,Network Simplex
33988049,5002,10050,1,1000,5045633,0.5020530348258707,0.2891025473062267,1,100,512215,0.5096666666666667,0.2883921430836345,707.0,1,51,1340991,0.2969485837051859,0.18992575133000025,255455,0.5108078384323135,0.2859868346141692,5833,38528,97163,43369,3294388,9669527,402409,Network Simplex
33988099,2002,3920,1,2,5814,0.7415816326530612,0.2498582219804103,1,1000,1956240,0.4990408163265306,0.2915006298648058,447.0,1,101,2188,0.5467266366816592,0.1455332943530442,996892,0.4981969015492254,0.29198184791291304,2023,9264,5581,4090,474208,936663,112797,Network Simplex
33988337,102,200,1,2,305,0.7625,0.2496873044429772,5,998,100871,0.5053657314629258,0.2958800751493857,100.0,1,11,116,0.5742574257425742,0.17780480194126705,51008,0.5060417865433838,0.2976445885306306,32,119,22,28,156,198,300,SSP
33991211,27,50,1,10,278,0.5559999999999999,0.26993332510084783,78,9348,196504,0.4204193410355156,0.2819885988436652,5000.0,1,6,94,0.4519230769230769,0.2167197628766278,98798,0.465733922897791,0.3255521198024784,12,50,21,35,178,406,191,Network Simplex
33994025,252,545,1,100,27415,0.5030275229357798,0.2934886790782145,1,10,3098,0.568440366972477,0.29007172258265224,158.0,1,6,6273,0.3423566009932871,0.22494524631397214,1426,0.5681274900398406,0.30129217015066706,95,733,856,1026,3587,13782,2177,Network Simplex
33994186,1002,2030,2,1000,1025194,0.5050216748768472,0.2904312362306706,1,1000,1037359,0.5110142857142858,0.28963591259525107,3162.0,1,21,268948,0.3179636931116221,0.20652769538930696,516653,0.5161368631368631,0.2895583606210408,555,3746,4944,4919,235449,660430,31192,Network Simplex
34002637,52,105,10,998,55617,0.5307472087031205,0.27079732236821497,76,9994,518755,0.4943489903465889,0.2951914125140188,7071.0,1,6,16172,0.4285108638049815,0.2666101200406253,261932,0.5139004971610417,0.2818190994435267,33,145,32,75,758,1060,374,SSP
